[23:28:04.304] [T1] [DS=False] DEBUG | Log Started (v1.7.9)
[23:28:04.305] [T1] [DS=False] DEBUG | EEM Mod found. Spawns will be delayed until EEM faction validation passes.
[23:28:04.326] [T1] [DS=False] DEBUG | WeaponCore Mod found. API loaded successfully = True
[23:28:04.331] [T1] [DS=False] DEBUG | Defense Shields Mod found. API loaded successfully = True
[23:28:16.143] [T1] [DS=False] DEBUG | CommandMenu Registered Successfully = True
[23:29:51.094] [T1] [DS=False] DEBUG | Mod setup completed in 0H 1M 16.8S
[23:47:35.143] [T1] [DS=False] WARNING | Something attempted to spawn 'ANC_Suit_02' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:47:36.814] [T1] [DS=False] WARNING | Something attempted to spawn 'ANC_Suit_01' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:26:11.888] [T1] [DS=False] DEBUG | Unloading mod data. Registered = True
[01:26:11.933] [T1] [DS=False] DEBUG | Mod unloaded successfully
